greek_name,scientific_name,total
_ΑΓΝΩΣΤΟ ΕΙΔΟΣ_,Άγνωστο είδος,3738
ΑΓΓΕΛΙΚΗ,Pittosporum tobira,86
ΑΕΙΛΑΝΘΟΣ,Ailanthus altissima,164
ΑΚΑΚΙΑ ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ,Albizia julibrissin,741
ΑΚΑΚΙΑ ΣΦ,Acacia sp,52
ΑΜΥΓΔΑΛΙΑ,Prunus amygdalus,4
ΑΡΙΑ,Quercus ilex,5
ΑΡΙΖΟΝΑ,Cupressus arizonica,29
ΑΛΜΥΡΙΚΙ,Tamarix parviflora,4
ΑΡΟΚΑΡΙΑ,Araucaria heteroplylla,1
ΑΧΛΑΔΙΑ,Pyrus communis,13
ΒΕΡΙΚΟΚΙΑ,Prunus armeniaca,15
ΒΥΣΣΙΝΙΑ,Prunus cerasus,12
ΓΙΟΥΚΑ,Yucca sp,22
ΓΚΙΝΓΚΟ,Gingo biloba,116
ΓΚΛΕΝΤΙΤΣΙΑ,Gleditsia triacanthos,46
ΔΑΦΝΗ,Laurus nobilis,185
ΔΑΦΝΟΚΕΡΑΣΟ,Prunus laurocerasus,16
ΔΡΥΣ,Quercus sp,88
ΕΛΑΤΟ,Abies sp,12
ΕΛΙΑ,Olea europaea,633
ΕΥΚΑΛΥΠΤΟΣ,Eucalyptus sp,27
ΙΒΙΣΚΟΣ,Hibiscus syriacus,727
ΙΠΠΟΚΑΣΤΑΝΙΑ,Aesculus hippocastanum,515
ΙΤΙΑ,Salix babylonica,3
ΚΑΒΑΚΙ,Populus thevestina,204
ΚΑΛ ΔΑΜΑΣΚΗΝΙΑ,Prunus cerasifera,280
ΚΑΛ ΜΗΛΙΑ,Pyrus malus,31
ΚΑΛΛΙΣΤΗΜΟΝΑΣ,Callistemon sp,3
ΚΑΜΕΛΙΑ,Camellia japonica,4
ΚΑΡΑΓΑΤΣΙ,Ulmus sp,887
ΚΑΡΥΔΙΑ,Juglans regia,31
ΚΑΣΤΑΝΙΑ,Castanea sativa,2
ΚΑΤΑΛΠΗ,Catalpa bignonioides,180
ΚΕΔΡΟΣ ΙΜΑΛΑΪΩΝ,Cedrus deodara,10
ΚΕΔΡΟΣ ΛΙΒΑΝΟΥ,Cedrus libani,9
ΚΕΛΤΙΔΑ,Celtis australis,1115
ΚΕΡΑΣΙΑ,Prunus avium,31
ΚΕΡΚΙΔΑ,Cercis siliquastrum,702
ΚΕΡΛΕΤΟΡΙΑ,Koelreuteria paniculata,2341
ΚΟΡΟΜΗΛΙΑ,Prunus spinosa,58
ΚΟΥΚΟΥΝΑΡΙΑ,Pinus pinea,29
ΚΥΔΩΝΙΑ,Cydonia oblonga,8
ΚΥΠΑΡΙΣΣΙ,Cupressus sempervirens,337
ΛΑΓΚΕΣΤΡΕΜΙΑ,Lagestroemia indica,3
ΛΕΜΟΝΙΑ,Citrus limon,5
ΛΕΜΟΝΟΚΥΠΑΡΙΣΣΟ,Cupressus macrocarpa,18
ΛΕΥΚΑ,Populus alba,827
ΛΕΥΚΑ (Υβρίδιο),Populus x canadensis,1083
ΛΙΓΟΥΣΤΡΟ,Ligustrum japonicum,2881
ΛΙΡΙΟΔΕΝΔΡΟ,Liriodendron tulipifera,23
ΛΩΤΟΣ,Diospyros kaki,5
ΜΑΝΟΛΙΑ,Magnolia grandiflora,94
ΜΕΛΙΑ,Melia azedarach,47
ΜΟΥΡΙΑ,Morus sp,303
ΜΟΥΣΜΟΥΛΙΑ,Eriobotrya japonica,56
ΜΠΡΟΥΣΟΝΕΤΙΑ,Brousonettia papyrifera,121
ΝΕΡΑΤΖΙΑ,Citrus aurantium,1536
ΟΥΑΣΙΝΓΚΤΟΝΝΙΑ,Washingtonia filifera,12
ΠΑOΥΛΟΒΝΙΑ,Paulownia tomentosa,151
ΠΑΣΧΑΛΙΑ,Syringa vulgaris,3
ΠΕΥΚΗ ΜΑΥΡΗ,Pinus nigra,94
ΠΕΥΚΗ ΤΡΑΧΕΙΑ,Pinus brutia,85
ΠΕΥΚΗ ΧΑΛΕΠΙΟΣ,Pinus halepensis,20
ΠΕΥΚΟ,Pinus sp,63
ΠΙΚΡΟΔΑΦΝΗ,Nerium oleander,259
ΠΛΑΤΑΝΙ,Platanus orientalis,1813
ΠΥΡΑΚΑΝΘΟΣ,Pyracantha coccinea,12
ΡΟΔΑΚΙΝΙΑ,Prunus persica,5
ΡΟΔΙΑ,Punica granatum,36
ΣΕΦΛΕΡΑ,Schefflera arboricola,1
ΣΚΛΗΘΡΟ,Alnus glutinosa,154
ΣΟΦΟΡΑ,Sophora japonica,5785
ΣΥΚΙΑ,Ficus carica,98
ΣΦΕΝΔΑΜΙ,Acer negundo,3641
ΣΦΕΝΔΑΜΙ ΠΕΔΙΝΟ,Acer campestre,781
ΣΦΕΝΔΑΜΙ ΠΛΑΤΑΝΟΕΙΔΕΣ,Acer platanoides,7
ΣΧΙΝΟΣ,Pistacia lentiscus,1
ΤΑΦΛΑΝΙ,Euonymus japonicus,4
ΤΖΙΤΖΙΦΙΑ,Eleagnus angustifolia,9
ΤΟΥΓΙΑ,Thuja occidentalis,51
ΥΓΡΑΜΒΑΡΗ,Liquidambar styraciflua,1071
ΦΛΑΜΟΥΡΙΑ,Tilia sp,1010
ΦΟΙΝΙΚΑΣ,Phoenix canariensis,44
ΦΡΑΞΟΣ,Fraxinus angustifolia,687
ΦΩΤΕΙΝΙΑ,Photinia fraseri,2
ΧΑΜΑΙΡΩΠΑΣ,Trachycarpus fortunei (= Chamaerops excelsa),250
ΧΑΡΟΥΠΙΑ,Ceratonia siliqua,46
ΨΕΥΔΑΚΑΚΙΑ,Robinia pseudoacacia,4794
ΨΕΥΔΟΠΛΑΤΑΝΟΣ,Acer pseudoplatanus,352
